L,P,G,R,E,S,decision,rule
0,0,0,0,0,0,STOP,R2_stop_red
0,0,0,0,0,1,STOP,R2_stop_red
0,0,0,0,1,0,PULL_OVER,R4_emergency
0,0,0,0,1,1,PULL_OVER,R4_emergency
0,0,0,1,0,0,STOP,R2_stop_red
0,0,0,1,0,1,STOP,R2_stop_red
0,0,0,1,1,0,PULL_OVER,R4_emergency
0,0,0,1,1,1,PULL_OVER,R4_emergency
0,0,1,0,0,0,STOP,R2_stop_red
0,0,1,0,0,1,STOP,R2_stop_red
0,0,1,0,1,0,PULL_OVER,R4_emergency
0,0,1,0,1,1,PULL_OVER,R4_emergency
0,0,1,1,0,0,STOP,R2_stop_red
0,0,1,1,0,1,STOP,R2_stop_red
0,0,1,1,1,0,PULL_OVER,R4_emergency
0,0,1,1,1,1,PULL_OVER,R4_emergency
0,1,0,0,0,0,STOP,R2_stop_red
0,1,0,0,0,1,STOP,R2_stop_red
0,1,0,0,1,0,PULL_OVER,R4_emergency
0,1,0,0,1,1,PULL_OVER,R4_emergency
0,1,0,1,0,0,STOP,R2_stop_red
0,1,0,1,0,1,STOP,R2_stop_red
0,1,0,1,1,0,PULL_OVER,R4_emergency
0,1,0,1,1,1,PULL_OVER,R4_emergency
0,1,1,0,0,0,STOP,R2_stop_red
0,1,1,0,0,1,STOP,R2_stop_red
0,1,1,0,1,0,PULL_OVER,R4_emergency
0,1,1,0,1,1,PULL_OVER,R4_emergency
0,1,1,1,0,0,STOP,R2_stop_red
0,1,1,1,0,1,STOP,R2_stop_red
0,1,1,1,1,0,PULL_OVER,R4_emergency
0,1,1,1,1,1,PULL_OVER,R4_emergency
1,0,0,0,0,0,DECELERATE,R5_overspeed
1,0,0,0,0,1,NO_ACTION,NONE
1,0,0,0,1,0,PULL_OVER,R4_emergency
1,0,0,0,1,1,PULL_OVER,R4_emergency
1,0,0,1,0,0,DECELERATE,R5_overspeed
1,0,0,1,0,1,NO_ACTION,NONE
1,0,0,1,1,0,PULL_OVER,R4_emergency
1,0,0,1,1,1,PULL_OVER,R4_emergency
1,0,1,0,0,0,DECELERATE,R5_overspeed
1,0,1,0,0,1,NO_ACTION,NONE
1,0,1,0,1,0,PULL_OVER,R4_emergency
1,0,1,0,1,1,PULL_OVER,R4_emergency
1,0,1,1,0,0,DECELERATE,R5_overspeed
1,0,1,1,0,1,PROCEED,R1_proceed
1,0,1,1,1,0,PULL_OVER,R4_emergency
1,0,1,1,1,1,PULL_OVER,R4_emergency
1,1,0,0,0,0,YIELD,R3_yield_ped
1,1,0,0,0,1,YIELD,R3_yield_ped
1,1,0,0,1,0,PULL_OVER,R4_emergency
1,1,0,0,1,1,PULL_OVER,R4_emergency
1,1,0,1,0,0,YIELD,R3_yield_ped
1,1,0,1,0,1,YIELD,R3_yield_ped
1,1,0,1,1,0,PULL_OVER,R4_emergency
1,1,0,1,1,1,PULL_OVER,R4_emergency
1,1,1,0,0,0,YIELD,R3_yield_ped
1,1,1,0,0,1,YIELD,R3_yield_ped
1,1,1,0,1,0,PULL_OVER,R4_emergency
1,1,1,0,1,1,PULL_OVER,R4_emergency
1,1,1,1,0,0,YIELD,R3_yield_ped
1,1,1,1,0,1,YIELD,R3_yield_ped
1,1,1,1,1,0,PULL_OVER,R4_emergency
1,1,1,1,1,1,PULL_OVER,R4_emergency
